Survived,Fare,Gender,Relatives,Age
0,7.25,male,1,22
1,71.2833,female,1,38
1,7.925,female,0,26
1,53.1,female,1,35
0,8.05,male,0,35
0,8.4583,male,0,27
0,51.8625,male,0,54
0,21.075,male,4,2
1,11.1333,female,2,27
1,30.0708,female,1,14
1,16.7,female,2,4
1,26.55,female,0,58
0,8.05,male,0,20
0,31.275,male,6,39
0,7.8542,female,0,14
1,16,female,0,55
0,29.125,male,5,2
1,13,male,0,23
0,18,female,1,31
1,7.225,female,0,22
0,26,male,0,35
1,13,male,0,34
1,8.0292,female,0,15
1,35.5,male,0,28
0,21.075,female,4,8
1,31.3875,female,6,38
0,7.225,male,0,26
0,263,male,5,19
1,7.8792,female,0,24
0,7.8958,male,0,23
0,27.7208,male,0,40
1,146.5208,female,1,48
1,7.75,female,0,18
0,10.5,male,0,66
0,82.1708,male,1,28
0,52,male,1,42
1,7.2292,male,0,18
0,8.05,male,0,21
0,18,female,2,18
1,11.2417,female,1,14
0,9.475,female,1,40
0,21,female,1,27
1,41.5792,female,3,3
1,7.8792,female,0,19
0,8.05,male,0,30
0,15.5,male,1,20
1,7.75,female,0,27
0,21.6792,male,2,16
0,17.8,female,1,18
0,39.6875,male,5,7
0,7.8,male,0,21
1,76.7292,female,1,49
1,26,female,1,29
0,61.9792,male,1,65
1,35.5,male,0,46
1,10.5,female,0,21
0,7.2292,male,0,28.5
1,27.75,female,3,5
0,46.9,male,7,11
0,7.2292,male,0,22
1,80,female,0,38
0,83.475,male,1,45
0,27.9,male,5,4
0,27.7208,male,0,64
1,15.2458,male,2,7
1,10.5,female,0,29
0,8.1583,male,0,19
1,7.925,female,6,17
0,8.6625,male,2,26
0,10.5,male,0,32
0,46.9,female,7,16
0,73.5,male,0,21
0,14.4542,male,1,26
1,56.4958,male,0,32
0,7.65,male,0,25
0,7.8958,male,0,23
0,8.05,male,0,28
1,29,male,2,0.83
1,12.475,female,0,30
0,9,male,0,22
1,9.5,male,0,29
1,7.7875,female,0,31
0,47.1,male,0,28
1,10.5,female,0,17
1,15.85,female,3,33
0,34.375,male,4,16
0,8.05,male,0,20
1,263,female,5,23
0,8.05,male,0,24
0,8.05,male,0,29
0,7.8542,male,0,20
0,61.175,male,1,46
0,20.575,male,3,26
0,7.25,male,0,59
0,8.05,male,0,22
0,34.6542,male,0,71
1,63.3583,male,1,23
1,23,female,1,34
0,26,male,1,34
0,7.8958,female,0,28
0,7.8958,male,0,29
0,77.2875,male,1,21
0,8.6542,male,0,33
0,7.925,male,2,37
0,7.8958,male,0,28
1,7.65,female,0,21
1,7.775,male,0,29
0,7.8958,male,0,38
1,24.15,female,1,28
0,52,male,0,47
0,14.4542,female,1,14.5
0,8.05,male,0,22
0,9.825,female,1,20
0,14.4583,female,0,17
0,7.925,male,0,21
0,7.75,male,0,70.5
0,21,male,1,29
0,247.5208,male,1,24
0,31.275,female,6,2
0,73.5,male,2,21
0,8.05,male,0,19
0,30.0708,male,1,32.5
1,13,female,0,32.5
0,77.2875,male,1,54
1,11.2417,male,1,12
0,7.75,male,0,19
1,7.1417,male,0,24
1,22.3583,female,2,2
0,6.975,male,0,45
0,7.8958,male,0,33
0,7.05,male,0,20
0,14.5,female,1,47
1,26,female,1,29
0,13,male,0,25
0,15.0458,male,0,23
1,26.2833,female,2,19
0,53.1,male,1,37
0,9.2167,male,0,16
0,79.2,male,0,24
0,15.2458,female,2,40
1,7.75,female,0,22
1,15.85,female,1,24
0,6.75,male,0,19
